calculate reduction in extinction coefficient due to duplexing for the hairpin region

512 X 512 : 0.4143204 um/px
-> 447 X 447px -> 226 X 226 -> 418 X 481
->

---The below 12 pN TGT data is a bit confusing, but should be just fine
D:\WorkData\FAKSPARK_s201030\SupplementaryData\SupplementaryData_2_FAKSPARK_TGT\SupplementaryData_5_FAKSPARK_TGT_Data\211012_HeLaFAKSPARK_12pNTGTCy3B_IFP2.0Pax_STORM

---56pN_TGT
cellName, SPARK
220413_FAKSPARK__56pNTGT__Series1, 0.403
220413_FAKSPARK__56pNTGT__Series1, 0.07
220413_FAKSPARK__56pNTGT__Series1, 0.134
211015__FAKSPARK__56pNTGT_Series2, 0.143 
211015__FAKSPARK__56pNTGT_Series3, 0.211
211015__FAKSPARK__56pNTGT_Series4, 0.618
211014_FAKSPARK_56pNTGT, 0.173

---12pN_TGT
211027_FAKSPARK_12pNTGT_Series2, 0.035
211027_FAKSPARK_12pNTGT_Series3, 0.135
211012_HeLaFAKSPARK_12pNTGT_371-4_1, 0.119
211012_HeLaFAKSPARK_12pNTGT_371-4_2, 0.069
211012_HeLaFAKSPARK_12pNTGT_371-4_3, 0.465
211012_HeLaFAKSPARK_12pNTGT_371-4_4, 0.214
211012_HeLaFAKSPARK_12pNTGT_371-5_1, 0.010
